"code","iso","country","TBG.ind.1995","TBG.ind.1996","TBG.ind.1997","TBG.ind.1998","TBG.ind.1999","TBG.ind.2000","TBG.ind.2001","TBG.ind.2002","TBG.ind.2003","TBG.ind.2004","TBG.ind.2005","TBG.ind.2006","TBG.ind.2007","TBG.ind.2008","TBG.ind.2009","TBG.ind.2010","TBG.ind.2011","TBG.ind.2012","TBG.ind.2013","TBG.ind.2014","TBG.ind.2015","TBG.ind.2016","TBG.ind.2017","TBG.ind.2018","TBG.ind.2019","TBG.ind.2020"
4,"AFG","Afghanistan",0.19558575490492,0.195585754904896,0.195585754904965,0.195585754904962,0.195585754905028,0.195585754905009,0.195585754904955,0.195585754904945,0.195585754904938,0.195585754904942,0.195585754904976,0.195585754904983,0.195585754904973,0.1955857549049,0.195585754904875,1.34316955280426,1.34316955280475,1.34316955280449,1.34316955280449,1.34316955280442,1.34316955280432,1.3431695528044,1.34316955280431,1.34316955280431,1.34316955280426,1.34316955280426
8,"ALB","Albania",5.45423898402736,7.51285809232853,15.6335597919518,16.4208532751899,16.4208532751899,27.7999977691946,27.7999977691953,27.7999977691949,27.8985985247056,29.3027710571931,33.5957597535795,44.1802944101074,55.8154362400754,64.1569649652088,79.0753214490694,79.0753214490694,80.7998740925247,82.5732726476688,88.2849754259412,90.6392470322671,90.6392470322671,90.6392470322671,90.6392470322671,90.6392470322671,100,100
12,"DZA","Algeria",19.3065325361514,19.3065325361402,19.306532536148,19.3065325361415,19.3065325361395,19.4962017123952,19.4962017124023,40.0198809373302,40.0198809373109,44.5236822275319,45.6322365107918,45.6322365107907,45.6361121923009,45.6361121923009,45.6361121922967,45.8209950630282,45.8209950630258,45.9139448369197,45.9139448369213,45.9139448369202,45.9139448369198,45.9139448369186,45.9139448369179,45.9139448369169,45.9139448369165,45.9139448369165
20,"AND","Andorra",13.6631449916824,13.6631449916824,13.6631449916824,13.6631449916824,13.6631449916824,13.6631449916824,87.3048824243323,87.3048824243323,87.3048824243323,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
24,"AGO","Angola",36.5845978227192,36.5845978226896,36.5845978226696,36.5845978226648,36.5845978226587,36.5845978226562,36.5845978227088,36.5845978227179,36.5845978227255,36.5845978227305,36.5845978227559,36.5845978227559,36.5845978227554,36.5845978227611,36.5845978227214,36.5845978227167,36.5845978227101,36.5845978815998,36.5845978815942,36.5845978815872,36.5845978815939,36.5845978815957,36.5845978815943,36.5845978815939,36.5845978815965,36.584597881597
660,"AIA","Anguilla",1.88198838510604,1.88198838510516,1.88198838510455,1.8819883851048,1.88198838510478,1.88198838510537,1.88198838510601,1.88198838510566,1.88198838510437,1.88198838510428,1.88198838510372,1.88198838510356,1.8819883851034,1.92115415505224,1.92115415505169,1.92115415505178,1.92115415505152,1.92115415505166,1.92115415505158,1.92115415505151,1.92115415505198,1.92115415505189,1.92115415505185,1.92115415505171,1.92115415505173,1.92115415505172
28,"ATG","Antigua and Barbuda",57.4089366845362,57.4089366845536,57.4089366845665,57.4089366845616,57.4089366845622,57.4089366845501,57.4089366845358,57.4089366845425,57.4089366845662,57.4089366845682,57.4089366845776,86.7632374487812,86.7632374487806,86.76323744878,87.3018490431424,87.3018490431424,87.3018490431418,87.3018490431476,87.3018490431476,87.3018490431471,87.3018490431482,87.3018490431482,87.3018490431482,87.3018490431476,87.3018490431476,87.3018490431476
32,"ARG","Argentina",29.742346583286,30.4218291933578,30.9067236116319,32.3959167623296,32.517648460016,34.1647737419841,36.2352960306506,43.1181903444629,43.4337319769353,50.9152612551766,54.4384405248558,54.7831211040931,55.1726749699551,55.1966969313204,55.3765370976989,55.4505588381182,55.4710793515948,55.4941521141591,55.6314006220187,55.6793679970372,55.8041327004155,56.4033078541091,56.4071815016921,56.5833476610825,56.7149403621849,56.7149403621852
51,"ARM","Armenia",99.9427426074506,99.9427426074506,99.9427426074506,99.9427426074506,99.9427426074506,99.9427426074506,99.9427426074506,99.9983560847435,99.9983560847435,99.9983560847435,99.9983560847435,99.9983560847435,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712
533,"ABW","Aruba",2.34329395462477,2.34329395462484,2.34329395462484,2.34329395462482,2.34329395462485,2.34329395462486,52.7550085404919,52.7550085404915,52.7550085404926,52.7550085404928,52.7550085404938,52.7550085404938,52.7550085404936,52.7550085404939,52.755008540492,52.7550085404919,52.7550085404914,52.755008540492,52.7550085404916,52.7550085404912,52.7550085404915,52.7550085404916,52.7550085404915,52.7550085404915,52.7550085404916,52.7550085404916
36,"AUS","Australia",36.2009009702487,36.4403859759109,37.0246030850695,37.6259943043402,37.9686685301308,39.1692304208031,41.2410614254384,41.5239944786217,46.3529972964095,46.990173127186,49.3735562366855,50.5946688676836,51.6845936849729,54.5770226679633,55.7759703245675,59.4478216632006,60.9819694679029,65.9962760370271,69.7537647471576,73.4139353206606,74.9981099688894,77.7584869562918,81.0780056138918,82.2921767414559,82.5320978941453,82.5320978941453
40,"AUT","Austria",92.9616081354182,93.3846260716241,95.1669001143682,95.8580527298853,98.5018307917076,99.1168018176794,99.3143096367547,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
31,"AZE","Azerbaijan",38.6779990534714,38.6779990534733,38.6779990534809,38.6779990534792,38.6779990534805,38.6779990534782,38.6779990534698,40.8043158942628,40.8043158942571,46.8606761782309,51.5362911252684,51.7632698934984,59.9787626654941,59.9787626654894,62.0161162664882,62.0618646553482,62.06186465535,62.0618646553535,62.0618646553512,62.0618646553435,62.0618646553429,62.0618646553412,62.0618646553406,62.0618646553388,62.1633044593435,62.1633044593447
44,"BHS","Bahamas",3.4583049571213,3.45830495710099,3.45830495710259,38.2171209977646,38.2171209977694,38.2171209977722,38.2171209977443,38.2171209977498,46.6439517125495,46.6439517125574,46.643951712602,46.6439517126018,46.6439517125963,46.6439517126039,46.6439517125173,46.6468911355405,46.6468911355169,46.6468911355464,99.9999855922323,99.9999855922323,99.9999855922323,99.9999855922323,99.9999855922323,99.9999855922323,99.9999855922323,99.9999855922323
48,"BHR","Bahrain",4.75371906009386,4.75371906009386,4.75371906009386,12.0657802003005,12.0657802003005,12.0657802003005,12.0657802003005,12.0657802003005,12.0657802003005,12.0657800663487,12.0657800663487,12.0657800663487,14.6690146123036,14.6690147802346,14.6690147802346,14.6690147802346,14.6690147802346,14.6690147802346,14.6690147802346,14.6690147802346,14.6690147802346,14.6690147802346,14.6690147802346,14.6690147802346,14.6690147802346,14.6690147802346
50,"BGD","Bangladesh",88.6265192533712,88.6265192535235,88.6334900193418,88.6334900193224,88.6334900193665,88.6662590082659,88.7186470464177,88.7188384292553,88.7188384291394,88.7188384291241,88.7209904748035,88.7223783127659,88.7268276270159,88.7386314968982,88.7386314970982,88.80364051777,88.9042660363971,88.9061267539224,88.9061267539188,88.9093711771306,88.9093711771006,88.9093711770965,88.9093711771088,88.9093711771088,88.9093711770918,88.9093711770906
52,"BRB","Barbados",2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201
112,"BLR","Belarus",39.0057259962993,40.8964153026968,41.2019676363682,41.2019676363682,41.2019676363682,41.4136000867085,41.4136000867085,46.0833899327789,46.4976977022211,46.4976977022211,46.4976977022211,46.6309442728854,46.6309442728854,46.6309442728854,46.6309442728854,46.6309442728854,47.8700444685831,47.8700444685831,49.1433106623854,50.9169478625168,53.1890406493288,54.1394569984781,54.1394569984781,54.1394569984781,54.1394569984781,54.1394569984781
56,"BEL","Belgium",45.4856214663729,45.5439158235991,51.0066066859059,55.8774172500699,58.3919678709529,59.1784651677159,62.5734285802776,92.7319580362247,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
84,"BLZ","Belize",74.7674612543894,74.7674612542382,82.6373338955718,82.6373338955806,87.9408872344088,87.9408872343959,87.94088723458,92.4626853934776,93.1975179954876,93.1975179953347,93.1975179953912,93.2302193415935,93.2306769150565,93.7978462445071,93.7978462444577,93.7986750066071,94.6794801061106,94.6794801061294,96.6044317906135,96.6358937529053,96.6358937529094,96.6358937529118,96.63589375291,96.63589375291,96.6358937529123,96.6358937529123
204,"BEN","Benin",98.836033275377,98.836033275377,98.836033275377,98.836033275377,98.836033275377,98.836033275377,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
60,"BMU","Bermuda",9.92154143281265,9.92154143281265,9.92154143281265,9.92154143281265,9.92154143281265,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789
64,"BTN","Bhutan",79.9195118354171,95.9290932753906,95.9290932753929,95.9290932753918,98.0059489005488,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
68,"BOL","Bolivia",42.5425341675395,48.8580283538741,48.9048902459733,85.1586941396312,87.6401503228788,87.6434011765465,90.3233606226223,90.4747493244459,96.5613164307823,96.5613164307829,96.5617657587582,96.5617657587553,96.6068231916388,96.6537133355953,96.6537133355965,96.6537133355959,96.6537133355941,96.6537133321535,96.6537133321541,96.6537133321547,96.6537133321541,96.6537133321541,96.6537133321541,96.6537133321547,96.6537133321547,96.6537133321547
70,"BIH","Bosnia and Herzegovina",1.79032300130302,1.79032300130239,1.79032300130232,1.79032300130152,1.79032300130152,1.79032300130112,1.79032300130138,1.79032300130126,1.79032300130054,1.79032300130037,1.79032300130015,1.79032300130022,1.78706513239035,2.05452228460224,12.8677060945635,12.8677060945663,12.8677060945686,12.9966789652564,13.0018388526615,13.0057466275161,13.0057466275175,13.0092449050075,13.009244905009,13.0092449050118,13.0092449050125,13.0092449050119
72,"BWA","Botswana",97.3306936501853,97.3306936501859,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
76,"BRA","Brazil",50.0653089970276,51.9413651197942,53.6845565654719,58.7663226533989,65.6897723376429,69.6346757195324,71.1751198815553,72.7621945512547,75.3913226706847,75.4937942793376,76.5906586708535,76.9068325487312,78.6933119895771,78.9517361486265,79.1533324811835,79.4474697470282,79.5269972430741,79.5330609346618,79.5402602122129,79.5419666953371,79.5572905268776,79.5925378355771,79.5952920873671,79.6015040167035,79.9505634488971,79.9506729741959
92,"VGB","British Virgin Islands",9.76965454628176,12.5403998314799,12.5403998314798,12.5403998314798,13.2693074915108,54.3478326467684,54.3478326467752,54.3478326467754,54.3478326467804,54.7554927368042,54.7554927368096,54.755492736811,54.7554927368109,54.7554927368202,54.8906053654274,54.8906053654291,54.8906053654295,54.8906053653653,54.8906053653626,54.8906053653635,54.8906053653641,54.8906053653631,54.8906053653633,54.8906053653632,54.8906053653627,54.8906053653629
96,"BRN","Brunei Darussalam",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,"BGR","Bulgaria",19.6595685813741,25.1437097118117,25.1626552411986,25.1824427858432,25.1824427858432,25.1910354504471,26.3504850110825,26.9005988072817,84.9480341903,85.0594051405447,85.0681604808323,85.1421456596523,85.2043292386212,100,100,100,100,100,100,100,100,100,100,100,100,100
854,"BFA","Burkina Faso",80.5550378007976,80.5550378007976,81.5062009385212,81.5062009385212,81.5062009385212,81.5062009385212,81.5062009385212,81.5062009385212,81.5062009385212,83.8437316948806,83.8437316948806,83.8437316948806,83.8437316948806,83.89368110131,83.89368110131,86.3118096351888,86.3118096351888,86.3118096351888,86.3118096351888,86.3118096351888,86.3118096351888,86.3118096351888,86.8121023142553,87.1920512681106,87.1920512681106,87.1920512681106
108,"BDI","Burundi",33.4515561982018,33.4515561982006,33.4515561982004,33.4515561982004,33.4515561982013,33.4515561982025,35.1933910125068,35.1933910125171,35.9979952042439,35.997995204244,35.997995204239,35.9979952042385,35.9979952042388,35.9979952042348,35.9979952042368,35.9979952042374,35.9979952042372,36.0358991604086,36.0358991604134,46.7037673375628,46.7037673375631,46.7037673375641,46.7037673375646,46.7037673375646,46.7037673375649,46.7037673375648
132,"CPV","Cabo Verde",14.6428440988081,14.6428440988081,14.6428440988081,14.6428440988081,14.6428440988081,14.6428440988081,14.6428440988081,14.6428440988081,14.6428440988081,14.6428440988081,14.6428440988081,16.6283828943901,16.6283828943901,16.6283828943901,16.6283828943901,16.6283828943901,16.6283828943901,16.6283828943901,16.6283828943901,16.8781569453545,16.8781569453545,16.8781569453545,16.8781569453545,16.8781569453545,16.8781569453545,16.8781569453545
116,"KHM","Cambodia",89.2072063875453,89.2072063873676,89.2072063873665,89.3098844956035,89.3098844956071,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
120,"CMR","Cameroon",15.5324739674596,15.5324739674044,16.1743070865972,16.1743070866055,16.1743070865881,16.1743070865778,20.2493847068491,22.3319932485301,22.3319932486004,22.3319932486079,23.2605239993387,26.2875290644366,26.2914865240341,31.765425952989,34.0654308611113,34.6277923036058,58.5605575470193,58.5605576341491,63.9348127976447,64.5978464446376,66.1912687977518,67.1252888852065,67.1252888852171,67.1252888852171,68.0390995116247,68.0390995116235
124,"CAN","Canada",39.8762962108957,42.1432074981223,43.5581474124009,44.2210172355996,46.2688320788006,48.0004930891676,48.6832513373399,50.2482495067623,50.4080515098632,53.4741241750406,54.1023227393144,55.482146039805,56.2494954771782,57.0558244160525,59.3505735557024,60.8482078819582,61.2170072889847,62.0808694616571,62.9339893472035,64.3761506554906,64.4659944811694,65.7279934320006,65.9952766646112,66.1890069050135,67.3799505260447,67.5002719130412
136,"CYM","Cayman Islands",57.2537880730369,59.3301162443924,59.3301162443894,66.1058404020229,66.1058404020388,66.10584040205,66.1058404019571,66.1058404019706,66.1058404019182,66.1058404019129,66.1529183123577,66.1529183123571,66.1529183123606,66.1529183123524,66.15291831242,66.1529183124271,66.9016643366712,66.9164479120182,66.9557625162018,67.1019996131923,67.1210146721353,67.1210146721341,67.1210146721376,67.1210146721371,67.1210146721323,67.1210146721312
140,"CAF","Central African Republic",97.0181996801224,97.0181996801224,97.0181996801224,97.0181996801224,97.0181996802194,97.0181996802194,97.0181996802194,97.01819968022,97.0181996802194,97.0181996802194,97.0181996802194,97.02761516121,97.02761516121,97.02761516121,97.02761516121,97.02761516121,97.02761516121,97.0276151652223,97.0276151652223,97.0276151652223,97.0276151652223,97.0276151652223,97.0276151652223,97.0276151652223,97.0276151652229,97.0276151652229
148,"TCD","Chad",63.3420450436165,63.3420450436188,63.3420450437088,63.3420450437406,63.3420450437406,63.3420450437329,63.3420450437129,77.3933879123759,77.3933879123653,77.3933879123706,77.3933879123753,77.3933879123706,77.3933879123718,77.3933879123577,77.3933879123512,77.3933879123423,77.3933879123412,77.3933877438818,77.3933877438788,77.3933877438735,77.3933877438706,77.3933877438688,77.3933877438653,77.3933877438659,77.3933877438659,77.3933877438659
152,"CHL","Chile",37.9622206444172,40.9368190356022,41.9432799121353,41.9432799121091,41.9491886755854,41.9491886755726,41.9501043266736,41.9501043266696,41.9501043266474,41.9501043266342,41.9834927529258,42.0456916605597,42.0118148941808,42.0118148941927,42.0118148941773,42.3367567043994,42.6922760707557,42.7277313662766,42.7277313662729,42.7574136925479,42.8933849572509,43.475529922239,43.4755299222436,43.4980160629268,44.3411690051631,44.6224497380758
156,"CHN","China",0.687045919522106,0.687045919522129,0.688342612761924,0.693148498999582,0.693148498999541,0.742462906936418,0.742462906936247,0.742462906936018,3.93012905855211,3.93012905855479,4.23275039552648,4.23275039552565,4.23598379914722,4.23598379914702,4.43133872817501,4.43147521142983,4.43147521142822,5.04002878144516,5.04002878144635,5.57784421815484,5.57784421815552,5.59986236005608,5.59986236005624,5.59986236005639,8.49531609501294,8.49531609501288
170,"COL","Colombia",55.5812300294579,55.5812300295654,55.5824871466209,55.5956668842029,62.1932039497541,62.2359646123847,62.2377637946059,62.2768893120182,65.2492747683994,65.2553455403535,65.2572445394812,66.7367378340994,67.1982849480024,68.5835461863188,69.9457307263029,73.7725902681653,73.8293195436412,74.2655188780718,74.3672518460612,74.5845580809947,75.5838708764153,76.4668701788435,76.69481116226,77.3198636014159,77.3198636014082,77.3198636014065
174,"COM","Comoros",0,4.10245298849361,4.10245298849361,4.10245298849361,4.10245298849361,4.10245298849361,4.10245298849361,4.10245298849361,4.10245298849361,4.10245298849361,4.10245298849361,4.10245298849361,59.9893318507835,59.9893318507835,59.9893318507835,59.9893318507835,59.9893318507835,59.9893318507835,59.9893318507835,59.9893318507835,59.9893318507835,59.9893318507835,59.9893318507835,59.9893318507835,59.9893318507835,59.9893318507835
184,"COK","Cook Islands",0.879817720730218,0.879817720730218,4.35075599170331,4.35075599170331,5.43060148132545,5.43060148132545,6.82285412938247,6.82285412938247,6.82285412938247,6.82285412938247,6.82285412938247,6.82285412938247,6.82285412938247,6.82285412938247,6.82285412938247,6.82285412938247,6.82285412938247,6.82285412938247,6.82285412938247,6.82285412938247,6.82285412938247,6.82285412938247,6.82285412938247,6.82285411043082,6.82285411043082,6.82285411043082
188,"CRI","Costa Rica",96.6270119134318,96.7320831037953,96.7320831031535,96.7320831031424,96.8237336899135,96.8237336898482,96.8237336897977,97.6333700853347,97.6333700853053,97.63337008526,97.6333700852453,97.6333700852877,97.6333700852888,97.6333700852988,97.6333700853212,97.8913766224512,97.8913766224547,97.8913766224553,97.8913766224594,97.9507630795823,97.9507630796347,97.9507630796347,97.9507630796353,97.9507630796441,97.9507630796424,97.9507630796424
384,"CIV","Cote d'Ivoire",93.4172662056559,93.4172662055659,93.4172662055571,93.4172662055682,93.4172662055418,93.4172662055259,93.4172662056824,93.41726620565,93.4172662057235,93.4172662057323,93.4172662057947,98.0621230207706,98.0621230207677,98.0621230207706,98.0621230207347,98.0621230207312,98.0621230207218,98.0621230088023,98.0621230087953,98.0621230087877,98.0621230087929,98.0621230087935,98.0621230087912,98.0621230087906,98.0621230087935,98.0621230087941
191,"HRV","Croatia",46.3753767920089,47.3684598571008,47.4729781748836,47.4782488099224,48.0169652415328,54.8673203122644,54.9243326896768,55.8058065727996,55.8114534935536,56.0472418889397,56.0472418889382,56.0472418889387,57.8628911030128,57.8628911030149,57.8628911030117,57.8628911030101,57.8786477541758,62.9304770267477,62.9304770267459,100,100,100,100,100,100,100
192,"CUB","Cuba",0,0,0,0,0,0,0,58.4816873490829,62.5511336723182,62.5511336722965,62.55113367213,62.5511336721271,62.5511336721459,62.5511336721129,63.10120867107,63.1012086710912,68.3619476124994,68.3619476103735,69.3026813975112,69.30268139756,69.3026813975306,69.3026813975206,69.3026813975347,69.3026813975312,69.3026813975112,69.3026813975082
531,"CUW","Curacao",11.1347063654498,11.1347063654295,11.1347063654294,11.1347063654319,11.1347063654259,11.1347063654231,11.1347063654592,11.1347063654534,11.1347063654701,11.1347063654719,11.1347063654864,11.1347063654862,11.1347063654844,11.1347063654879,11.1347063654612,11.1347063654587,11.134706365452,11.1347063654611,11.1347063654555,33.8656230733545,33.8656230733595,33.8656230733599,33.865623073358,33.8656230733579,39.1430650722242,39.1430650722245
196,"CYP","Cyprus",6.90777915035088,6.90777915035088,6.98837064879,6.98837064879,7.04507735311635,7.04507735311635,9.89699982025494,10.8215335422718,10.8215335422718,12.1846170390107,43.7346981674146,66.2448097734165,66.4716314089265,92.5738783202977,99.2326466658806,100,100,100,100,100,100,100,100,100,100,100
203,"CZE","Czech Republic",85.16535553427,85.24419005097,85.3109497101253,85.3841176767476,85.5623126127841,86.1011247684429,86.14652877922,86.1758848879571,86.2260723764982,86.2266314859912,98.941032719977,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
180,"COD","Dem. Rep. Congo",57.4638076928402,57.4638076928528,57.6265638446624,57.6265638446644,57.6265638446688,57.6265638446715,57.6265638446464,57.6265638446505,57.6265638446419,57.6265638446395,57.6265638446262,57.6265638446265,59.4721675628412,59.4721675628371,72.6508678535747,72.6508678535777,72.6508678535806,72.6508679918894,72.9054896006312,72.9054896006353,72.9054896006341,72.9054896006365,75.09755456848,79.7540927323653,79.7540927323653,79.7540927323647
