"code","iso","country","WWT.ind.1995","WWT.ind.1996","WWT.ind.1997","WWT.ind.1998","WWT.ind.1999","WWT.ind.2000","WWT.ind.2001","WWT.ind.2002","WWT.ind.2003","WWT.ind.2004","WWT.ind.2005","WWT.ind.2006","WWT.ind.2007","WWT.ind.2008","WWT.ind.2009","WWT.ind.2010","WWT.ind.2011","WWT.ind.2012","WWT.ind.2013","WWT.ind.2014","WWT.ind.2015","WWT.ind.2016","WWT.ind.2017","WWT.ind.2018","WWT.ind.2019","WWT.ind.2020"
4,"AFG","Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"ALB","Albania",2.672,2.672,2.672,2.672,2.672,2.672,2.672,2.672,2.672,2.672,2.672,2.672,2.672,2.672,2.672,2.672,2.672,2.672,2.672,2.672,2.672,2.672,2.672,2.672,2.672,2.672
12,"DZA","Algeria",33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12
20,"AND","Andorra",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
24,"AGO","Angola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",1.33378642181885,1.33378642181885,1.33378642181885,1.33378642181885,1.33378642181885,1.33378642181885,1.33378642181885,1.33378642181885,1.33378642181885,1.33378642181885,1.33378642181885,1.33378642181885,1.33378642181885,1.33378642181885,1.33378642181885,1.33378642181885,1.33378642181885,1.33378642181885,1.33378642181885,1.33378642181885,1.33378642181885,1.33378642181885,1.33378642181885,1.33378642181885,1.33378642181885,1.33378642181885
32,"ARG","Argentina",5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236
51,"ARM","Armenia",8.8476,8.8476,8.8476,8.8476,8.8476,8.8476,8.8476,8.8476,8.8476,8.8476,8.8476,8.8476,8.8476,8.8476,8.8476,8.8476,8.8476,8.8476,8.8476,8.8476,8.8476,8.8476,8.8476,8.8476,8.8476,8.8476
533,"ABW","Aruba",1.88508410153322,1.88508410153322,1.88508410153322,1.88508410153322,1.88508410153322,1.88508410153322,1.88508410153322,1.88508410153322,1.88508410153322,1.88508410153322,1.88508410153322,1.88508410153322,1.88508410153322,1.88508410153322,1.88508410153322,1.88508410153322,1.88508410153322,1.88508410153322,1.88508410153322,1.88508410153322,1.88508410153322,1.88508410153322,1.88508410153322,1.88508410153322,1.88508410153322,1.88508410153322
36,"AUS","Australia",92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7,92.7
40,"AUT","Austria",94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94
31,"AZE","Azerbaijan",3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78
44,"BHS","Bahamas",1.39309308089645,1.39309308089645,1.39309308089645,1.39309308089645,1.39309308089645,1.39309308089645,1.39309308089645,1.39309308089645,1.39309308089645,1.39309308089645,1.39309308089645,1.39309308089645,1.39309308089645,1.39309308089645,1.39309308089645,1.39309308089645,1.39309308089645,1.39309308089645,1.39309308089645,1.39309308089645,1.39309308089645,1.39309308089645,1.39309308089645,1.39309308089645,1.39309308089645,1.39309308089645
48,"BHR","Bahrain",86.856,86.856,86.856,86.856,86.856,86.856,86.856,86.856,86.856,86.856,86.856,86.856,86.856,86.856,86.856,86.856,86.856,86.856,86.856,86.856,86.856,86.856,86.856,86.856,86.856,86.856
50,"BGD","Bangladesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,"BRB","Barbados",1.14540354497997,1.14540354497997,1.14540354497997,1.14540354497997,1.14540354497997,1.14540354497997,1.14540354497997,1.14540354497997,1.14540354497997,1.14540354497997,1.14540354497997,1.14540354497997,1.14540354497997,1.14540354497997,1.14540354497997,1.14540354497997,1.14540354497997,1.14540354497997,1.14540354497997,1.14540354497997,1.14540354497997,1.14540354497997,1.14540354497997,1.14540354497997,1.14540354497997,1.14540354497997
112,"BLR","Belarus",7.18,7.18,7.18,7.18,7.18,7.18,7.18,7.18,7.18,7.18,7.18,7.18,7.18,7.18,7.18,7.18,7.18,7.18,7.18,7.18,7.18,7.18,7.18,7.18,7.18,7.18
56,"BEL","Belgium",67.876,67.876,67.876,67.876,67.876,67.876,67.876,67.876,67.876,67.876,67.876,67.876,67.876,67.876,67.876,67.876,67.876,67.876,67.876,67.876,67.876,67.876,67.876,67.876,67.876,67.876
84,"BLZ","Belize",0.582968589319691,0.582968589319691,0.582968589319691,0.582968589319691,0.582968589319691,0.582968589319691,0.582968589319691,0.582968589319691,0.582968589319691,0.582968589319691,0.582968589319691,0.582968589319691,0.582968589319691,0.582968589319691,0.582968589319691,0.582968589319691,0.582968589319691,0.582968589319691,0.582968589319691,0.582968589319691,0.582968589319691,0.582968589319691,0.582968589319691,0.582968589319691,0.582968589319691,0.582968589319691
204,"BEN","Benin",0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168
60,"BMU","Bermuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,"BTN","Bhutan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,"BOL","Bolivia",3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509
70,"BIH","Bosnia and Herzegovina",1.1268,1.1268,1.1268,1.1268,1.1268,1.1268,1.1268,1.1268,1.1268,1.1268,1.1268,1.1268,1.1268,1.1268,1.1268,1.1268,1.1268,1.1268,1.1268,1.1268,1.1268,1.1268,1.1268,1.1268,1.1268,1.1268
72,"BWA","Botswana",0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
76,"BRA","Brazil",49.301895,49.301895,49.301895,49.301895,49.301895,49.301895,49.301895,49.301895,49.301895,49.301895,49.301895,49.301895,49.301895,49.301895,49.301895,49.301895,49.301895,49.301895,49.301895,49.301895,49.301895,49.301895,49.301895,49.301895,49.301895,49.301895
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",6.01769418857304,6.01769418857304,6.01769418857304,6.01769418857304,6.01769418857304,6.01769418857304,6.01769418857304,6.01769418857304,6.01769418857304,6.01769418857304,6.01769418857304,6.01769418857304,6.01769418857304,6.01769418857304,6.01769418857304,6.01769418857304,6.01769418857304,6.01769418857304,6.01769418857304,6.01769418857304,6.01769418857304,6.01769418857304,6.01769418857304,6.01769418857304,6.01769418857304,6.01769418857304
100,"BGR","Bulgaria",13.888,13.888,13.888,13.888,13.888,13.888,13.888,13.888,13.888,13.888,13.888,13.888,13.888,13.888,13.888,13.888,13.888,13.888,13.888,13.888,13.888,13.888,13.888,13.888,13.888,13.888
854,"BFA","Burkina Faso",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,"BDI","Burundi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,"CPV","Cabo Verde",20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9
116,"KHM","Cambodia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,"CMR","Cameroon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,"CAN","Canada",67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44
136,"CYM","Cayman Islands",2.51335796259198,2.51335796259198,2.51335796259198,2.51335796259198,2.51335796259198,2.51335796259198,2.51335796259198,2.51335796259198,2.51335796259198,2.51335796259198,2.51335796259198,2.51335796259198,2.51335796259198,2.51335796259198,2.51335796259198,2.51335796259198,2.51335796259198,2.51335796259198,2.51335796259198,2.51335796259198,2.51335796259198,2.51335796259198,2.51335796259198,2.51335796259198,2.51335796259198,2.51335796259198
140,"CAF","Central African Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,"TCD","Chad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,"CHL","Chile",71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856
156,"CHN","China",9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36
170,"COL","Colombia",25.564,25.564,25.564,25.564,25.564,25.564,25.564,25.564,25.564,25.564,25.564,25.564,25.564,25.564,25.564,25.564,25.564,25.564,25.564,25.564,25.564,25.564,25.564,25.564,25.564,25.564
174,"COM","Comoros",0.123454822479057,0.123454822479057,0.123454822479057,0.123454822479057,0.123454822479057,0.123454822479057,0.123454822479057,0.123454822479057,0.123454822479057,0.123454822479057,0.123454822479057,0.123454822479057,0.123454822479057,0.123454822479057,0.123454822479057,0.123454822479057,0.123454822479057,0.123454822479057,0.123454822479057,0.123454822479057,0.123454822479057,0.123454822479057,0.123454822479057,0.123454822479057,0.123454822479057,0.123454822479057
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",9.7461,9.7461,9.7461,9.7461,9.7461,9.7461,9.7461,9.7461,9.7461,9.7461,9.7461,9.7461,9.7461,9.7461,9.7461,9.7461,9.7461,9.7461,9.7461,9.7461,9.7461,9.7461,9.7461,9.7461,9.7461,9.7461
384,"CIV","Cote d'Ivoire",0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
191,"HRV","Croatia",51.7058,51.7058,51.7058,51.7058,51.7058,51.7058,51.7058,51.7058,51.7058,51.7058,51.7058,51.7058,51.7058,51.7058,51.7058,51.7058,51.7058,51.7058,51.7058,51.7058,51.7058,51.7058,51.7058,51.7058,51.7058,51.7058
192,"CUB","Cuba",3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6
531,"CUW","Curacao",1.48059662269316,1.48059662269316,1.48059662269316,1.48059662269316,1.48059662269316,1.48059662269316,1.48059662269316,1.48059662269316,1.48059662269316,1.48059662269316,1.48059662269316,1.48059662269316,1.48059662269316,1.48059662269316,1.48059662269316,1.48059662269316,1.48059662269316,1.48059662269316,1.48059662269316,1.48059662269316,1.48059662269316,1.48059662269316,1.48059662269316,1.48059662269316,1.48059662269316,1.48059662269316
196,"CYP","Cyprus",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
203,"CZE","Czech Republic",60.75,60.75,60.75,60.75,60.75,60.75,60.75,60.75,60.75,60.75,60.75,60.75,60.75,60.75,60.75,60.75,60.75,60.75,60.75,60.75,60.75,60.75,60.75,60.75,60.75,60.75
180,"COD","Dem. Rep. Congo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,"DNK","Denmark",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
262,"DJI","Djibouti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,"DMA","Dominica",0.987943555342064,0.987943555342064,0.987943555342064,0.987943555342064,0.987943555342064,0.987943555342064,0.987943555342064,0.987943555342064,0.987943555342064,0.987943555342064,0.987943555342064,0.987943555342064,0.987943555342064,0.987943555342064,0.987943555342064,0.987943555342064,0.987943555342064,0.987943555342064,0.987943555342064,0.987943555342064,0.987943555342064,0.987943555342064,0.987943555342064,0.987943555342064,0.987943555342064,0.987943555342064
214,"DOM","Dominican Republic",5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844
218,"ECU","Ecuador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
818,"EGY","Egypt",41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958
222,"SLV","El Salvador",0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
226,"GNQ","Equatorial Guinea",1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
232,"ERI","Eritrea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,"EST","Estonia",69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6
748,"SWZ","Eswatini",5.68885028251372,5.68885028251372,5.68885028251372,5.68885028251372,5.68885028251372,5.68885028251372,5.68885028251372,5.68885028251372,5.68885028251372,5.68885028251372,5.68885028251372,5.68885028251372,5.68885028251372,5.68885028251372,5.68885028251372,5.68885028251372,5.68885028251372,5.68885028251372,5.68885028251372,5.68885028251372,5.68885028251372,5.68885028251372,5.68885028251372,5.68885028251372,5.68885028251372,5.68885028251372
231,"ETH","Ethiopia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
246,"FIN","Finland",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
250,"FRA","France",88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,"GMB","Gambia",0.0764380797031169,0.0764380797031169,0.0764380797031169,0.0764380797031169,0.0764380797031169,0.0764380797031169,0.0764380797031169,0.0764380797031169,0.0764380797031169,0.0764380797031169,0.0764380797031169,0.0764380797031169,0.0764380797031169,0.0764380797031169,0.0764380797031169,0.0764380797031169,0.0764380797031169,0.0764380797031169,0.0764380797031169,0.0764380797031169,0.0764380797031169,0.0764380797031169,0.0764380797031169,0.0764380797031169,0.0764380797031169,0.0764380797031169
268,"GEO","Georgia",46.64,46.64,46.64,46.64,46.64,46.64,46.64,46.64,46.64,46.64,46.64,46.64,46.64,46.64,46.64,46.64,46.64,46.64,46.64,46.64,46.64,46.64,46.64,46.64,46.64,46.64
