,country,year,DPT
809,Japan,2008,452.872
810,Jordan,2008,597.3471
811,Kazakhstan,2008,451.4575
812,Kenya,2008,334.871
813,Kiribati,2008,
814,Kosovo,2008,1089.1703
815,Kuwait,2008,785.1715
816,Kyrgyzstan,2008,145.8224
817,Laos,2008,
818,Latvia,2008,163.1391
819,Lebanon,2008,722.3361
820,Lesotho,2008,
821,Liberia,2008,
822,Libya,2008,747.9937
823,Liechtenstein,2008,
824,Lithuania,2008,115.2683
825,Luxembourg,2008,308.802
826,Macao,2008,
827,Macedonia,2008,802.4055
828,Madagascar,2008,
829,Malawi,2008,
830,Malaysia,2008,696.7439
831,Maldives,2008,
832,Mali,2008,
833,Malta,2008,857.2807
834,Marshall Islands,2008,
835,Martinique,2008,
836,Mauritania,2008,
837,Mauritius,2008,791.5632
838,Mayotte,2008,
839,Mexico,2008,474.941
840,Micronesia,2008,
841,Moldova,2008,388.5967
842,Monaco,2008,
843,Mongolia,2008,607.7489
844,Montenegro,2008,543.7931
845,Montserrat,2008,
846,Morocco,2008,799.6763
847,Mozambique,2008,0.4005
848,Myanmar,2008,311.2314
849,Namibia,2008,151.1711
850,Nauru,2008,
851,Nepal,2008,2.4328
852,Netherlands,2008,395.498
853,Netherlands Antilles,2008,
854,New Caledonia,2008,
855,New Zealand,2008,217.382
856,Nicaragua,2008,484.8807
857,Niger,2008,550.4963
858,Nigeria,2008,367.9626
859,Niue,2008,
860,Norfolk Island,2008,
861,North Korea,2008,490.5122
862,Northern Mariana Islands,2008,
863,Norway,2008,5.675
864,Oman,2008,664.7619
865,Pakistan,2008,454.2689
866,Palau,2008,
867,Panama,2008,276.2022
868,Papua New Guinea,2008,
869,Paraguay,2008,0.0
870,Peru,2008,241.7409
871,Philippines,2008,491.0554
872,Pitcairn,2008,
873,Poland,2008,674.704
874,Portugal,2008,387.243
875,Puerto Rico,2008,
876,Qatar,2008,536.5577
877,Republic of Congo,2008,108.0694
878,Reunion,2008,
879,Romania,2008,450.3806
880,Russia,2008,331.4592
881,Rwanda,2008,
882,Saint Helena,2008,
883,Saint Kitts and Nevis,2008,
884,Saint Lucia,2008,
885,Saint Pierre and Miquelon,2008,
886,Saint Vincent and the Grenadines,2008,
887,Samoa,2008,
888,San Marino,2008,
889,Sao Tome and Principe,2008,
890,Saudi Arabia,2008,741.3706
891,Senegal,2008,600.9977
892,Serbia,2008,653.9866
893,Seychelles,2008,
894,Sierra Leone,2008,
895,Singapore,2008,476.6323
896,Sint Maarten,2008,
897,Slovakia,2008,221.648
898,Slovenia,2008,335.375
899,Solomon Islands,2008,
900,Somalia,2008,
901,South Africa,2008,967.0424
902,South Korea,2008,469.59
903,South Sudan,2008,
904,Spain,2008,330.139
905,Sri Lanka,2008,386.4825
906,State of Palestine,2008,
907,Sudan,2008,606.8538
908,Suriname,2008,222.5316
909,Svalbard and Jan Mayen Islands,2008,
910,Swaziland,2008,
911,Sweden,2008,39.311
912,Switzerland,2008,39.457
913,Syria,2008,632.0224
914,Taiwan,2008,656.9925
915,Tajikistan,2008,11.9398
916,Tanzania,2008,281.4675
917,Thailand,2008,534.854
918,Timor-Leste,2008,
919,Togo,2008,208.5691
920,Tokelau,2008,
921,Tonga,2008,
922,Trinidad and Tobago,2008,702.9151
923,Tunisia,2008,496.2074
924,Turkey,2008,503.679
925,Turkmenistan,2008,848.3472
926,Turks and Caicos Islands,2008,
927,Tuvalu,2008,
928,Uganda,2008,
929,Ukraine,2008,356.097
930,United Arab Emirates,2008,768.9873
931,United Kingdom,2008,491.456
932,United States of America,2008,544.441
933,United States Virgin Islands,2008,
934,Uruguay,2008,310.0198
935,Uzbekistan,2008,447.5009
936,Vanuatu,2008,
937,Venezuela,2008,204.4149
938,Viet Nam,2008,411.0972
939,Wallis and Futuna Islands,2008,
940,Western Sahara,2008,
941,Yemen,2008,814.5539
942,Zambia,2008,2.6584
943,Zimbabwe,2008,348.3631
944,Afghanistan,2009,
945,Albania,2009,1.1899
946,Algeria,2009,640.6606
947,American Samoa,2009,
948,Andorra,2009,
949,Angola,2009,469.988
950,Anguilla,2009,
951,Antigua and Barbuda,2009,
952,Argentina,2009,361.5051
953,Armenia,2009,108.5436
954,Aruba,2009,
955,Australia,2009,893.922
956,Austria,2009,168.177
957,Azerbaijan,2009,469.0663
958,Bahamas,2009,
959,Bahrain,2009,788.521
960,Bangladesh,2009,573.1946
961,Barbados,2009,
962,Belarus,2009,304.0931
963,Belgium,2009,214.959
964,Belize,2009,
965,Benin,2009,726.6094
966,Bermuda,2009,
967,Bhutan,2009,
968,Bolivia,2009,395.2339
969,Bosnia and Herzegovina,2009,791.7638
970,Botswana,2009,1511.2793
971,Brazil,2009,64.8935
972,British Virgin Islands,2009,
973,Brunei Darussalam,2009,792.6966
974,Bulgaria,2009,478.3327
975,Burkina Faso,2009,
976,Burundi,2009,
977,Cambodia,2009,824.633
978,Cameroon,2009,198.023
979,Canada,2009,173.107
980,Cape Verde,2009,
981,Cayman Islands,2009,
982,Central African Republic,2009,
983,Chad,2009,
984,Chile,2009,376.502
985,China,2009,724.1727
986,Colombia,2009,178.0374
987,Comoros,2009,
988,Cook Islands,2009,
989,Costa Rica,2009,40.1269
990,Cote d'Ivoire,2009,392.9349
991,Croatia,2009,275.0551
992,Cuba,2009,777.7222
993,Curacao,2009,694.8675
994,Cyprus,2009,753.3599
995,Czech Republic,2009,523.273
996,Dem. Rep. Congo,2009,6.6906
997,Denmark,2009,303.71
998,Djibouti,2009,
999,Dominica,2009,
1000,Dominican Republic,2009,627.0503
1001,Ecuador,2009,328.1135
1002,Egypt,2009,469.5147
1003,El Salvador,2009,276.0532
1004,Equatorial Guinea,2009,
1005,Eritrea,2009,841.4407
1006,Estonia,2009,713.334
1007,Ethiopia,2009,122.9168
1008,Faeroe Islands,2009,
1009,Falkland Islands,2009,
1010,Fiji,2009,
1011,Finland,2009,208.28
1012,France,2009,86.976
1013,French Guiana,2009,
1014,French Polynesia,2009,
1015,Gabon,2009,357.6142
1016,Gambia,2009,
1017,Georgia,2009,129.404
1018,Germany,2009,444.739
1019,Ghana,2009,189.9426
1020,Gibraltar,2009,764.7644
1021,Greece,2009,733.873
1022,Greenland,2009,
1023,Grenada,2009,
1024,Guadeloupe,2009,
1025,Guam,2009,
1026,Guatemala,2009,353.1626
1027,Guinea,2009,
1028,Guinea-Bissau,2009,
1029,Guyana,2009,
1030,Haiti,2009,361.3856
1031,Holy See,2009,
1032,Honduras,2009,345.3861
1033,Hong Kong,2009,776.6564
1034,Hungary,2009,304.55
1035,Iceland,2009,0.218
1036,India,2009,830.1465
1037,Indonesia,2009,757.3833
1038,Iran,2009,582.5981
1039,Iraq,2009,1212.1474
1040,Ireland,2009,454.877
1041,Isle of Man,2009,
1042,Israel,2009,706.069
1043,Italy,2009,389.459
1044,Jamaica,2009,648.3313
1045,Japan,2009,427.76
1046,Jordan,2009,587.146
1047,Kazakhstan,2009,405.022
1048,Kenya,2009,406.3116
1049,Kiribati,2009,
1050,Kosovo,2009,1285.6803
1051,Kuwait,2009,877.7068
1052,Kyrgyzstan,2009,144.4731
1053,Laos,2009,
1054,Latvia,2009,153.9707
1055,Lebanon,2009,723.8758
1056,Lesotho,2009,
1057,Liberia,2009,
1058,Libya,2009,726.9586
1059,Liechtenstein,2009,
1060,Lithuania,2009,111.8062
1061,Luxembourg,2009,320.744
1062,Macao,2009,
1063,Macedonia,2009,723.7679
1064,Madagascar,2009,
1065,Malawi,2009,
1066,Malaysia,2009,636.2151
1067,Maldives,2009,
1068,Mali,2009,
1069,Malta,2009,858.6093
1070,Marshall Islands,2009,
1071,Martinique,2009,
1072,Mauritania,2009,
1073,Mauritius,2009,783.9938
1074,Mayotte,2009,
1075,Mexico,2009,505.463
1076,Micronesia,2009,
1077,Moldova,2009,409.0488
1078,Monaco,2009,
1079,Mongolia,2009,604.8917
1080,Montenegro,2009,295.4877
1081,Montserrat,2009,
1082,Morocco,2009,709.1191
1083,Mozambique,2009,0.5058
1084,Myanmar,2009,201.2461
1085,Namibia,2009,72.8517
1086,Nauru,2009,
1087,Nepal,2009,3.2944
1088,Netherlands,2009,377.326
1089,Netherlands Antilles,2009,
1090,New Caledonia,2009,
1091,New Zealand,2009,170.385
1092,Nicaragua,2009,510.9215
1093,Niger,2009,540.2472
1094,Nigeria,2009,389.1651
1095,Niue,2009,
1096,Norfolk Island,2009,
1097,North Korea,2009,524.9225
1098,Northern Mariana Islands,2009,
1099,Norway,2009,14.658
1100,Oman,2009,647.3478
1101,Pakistan,2009,461.161
1102,Palau,2009,
1103,Panama,2009,350.7158
1104,Papua New Guinea,2009,
1105,Paraguay,2009,0.0
1106,Peru,2009,255.3627
1107,Philippines,2009,482.5139
1108,Pitcairn,2009,
1109,Poland,2009,659.352
1110,Portugal,2009,371.989
1111,Puerto Rico,2009,
1112,Qatar,2009,509.6034
1113,Republic of Congo,2009,246.0557
1114,Reunion,2009,
1115,Romania,2009,423.8764
1116,Russia,2009,323.2458
1117,Rwanda,2009,
1118,Saint Helena,2009,
1119,Saint Kitts and Nevis,2009,
1120,Saint Lucia,2009,
1121,Saint Pierre and Miquelon,2009,
1122,Saint Vincent and the Grenadines,2009,
1123,Samoa,2009,
1124,San Marino,2009,
1125,Sao Tome and Principe,2009,
1126,Saudi Arabia,2009,763.368
1127,Senegal,2009,692.127
1128,Serbia,2009,672.5248
1129,Seychelles,2009,
1130,Sierra Leone,2009,
1131,Singapore,2009,477.4881
1132,Sint Maarten,2009,
1133,Slovakia,2009,225.595
1134,Slovenia,2009,322.194
1135,Solomon Islands,2009,
1136,Somalia,2009,
1137,South Africa,2009,924.1324
1138,South Korea,2009,508.289
1139,South Sudan,2009,
1140,Spain,2009,299.465
1141,Sri Lanka,2009,408.0566
1142,State of Palestine,2009,
1143,Sudan,2009,416.7393
1144,Suriname,2009,236.5534
1145,Svalbard and Jan Mayen Islands,2009,
1146,Swaziland,2009,
1147,Sweden,2009,42.293
1148,Switzerland,2009,36.708
1149,Syria,2009,634.0356
1150,Taiwan,2009,644.0461
1151,Tajikistan,2009,5.034
1152,Tanzania,2009,253.8298
1153,Thailand,2009,519.0276
1154,Timor-Leste,2009,
1155,Togo,2009,231.7237
1156,Tokelau,2009,
1157,Tonga,2009,
1158,Trinidad and Tobago,2009,712.8861
1159,Tunisia,2009,490.3137
1160,Turkey,2009,488.392
1161,Turkmenistan,2009,793.4438
1162,Turks and Caicos Islands,2009,
1163,Tuvalu,2009,
1164,Uganda,2009,
1165,Ukraine,2009,344.0532
1166,United Arab Emirates,2009,634.5488
1167,United Kingdom,2009,445.426
1168,United States of America,2009,516.756
1169,United States Virgin Islands,2009,
1170,Uruguay,2009,255.3909
1171,Uzbekistan,2009,471.4687
1172,Vanuatu,2009,
1173,Venezuela,2009,208.8385
1174,Viet Nam,2009,388.9686
1175,Wallis and Futuna Islands,2009,
1176,Western Sahara,2009,
1177,Yemen,2009,828.681
1178,Zambia,2009,2.2415
1179,Zimbabwe,2009,372.1905
1180,Afghanistan,2010,
1181,Albania,2010,2.0447
1182,Algeria,2010,548.5178
1183,American Samoa,2010,
1184,Andorra,2010,
1185,Angola,2010,434.5873
1186,Anguilla,2010,
1187,Antigua and Barbuda,2010,
1188,Argentina,2010,363.4152
1189,Armenia,2010,95.4345
1190,Aruba,2010,
1191,Australia,2010,834.308
1192,Austria,2010,188.101
1193,Azerbaijan,2010,422.8432
1194,Bahamas,2010,
1195,Bahrain,2010,754.4453
1196,Bangladesh,2010,591.2062
1197,Barbados,2010,
1198,Belarus,2010,294.2278
1199,Belgium,2010,220.333
1200,Belize,2010,
1201,Benin,2010,726.94
1202,Bermuda,2010,
1203,Bhutan,2010,
1204,Bolivia,2010,431.5784
1205,Bosnia and Herzegovina,2010,713.0666
1206,Botswana,2010,1260.0
1207,Brazil,2010,87.2792
1208,British Virgin Islands,2010,
1209,Brunei Darussalam,2010,733.7848
1210,Bulgaria,2010,482.3269
1211,Burkina Faso,2010,
1212,Burundi,2010,
1213,Cambodia,2010,812.2012
1214,Cameroon,2010,209.0758
1215,Canada,2010,183.512
1216,Cape Verde,2010,
1217,Cayman Islands,2010,
1218,Central African Republic,2010,
1219,Chad,2010,
1220,Chile,2010,415.214
1221,China,2010,718.7175
1222,Colombia,2010,180.693
1223,Comoros,2010,
1224,Cook Islands,2010,
1225,Costa Rica,2010,56.275
1226,Cote d'Ivoire,2010,463.1138
1227,Croatia,2010,231.702
1228,Cuba,2010,913.6963
1229,Curacao,2010,695.845
1230,Cyprus,2010,711.6065
1231,Czech Republic,2010,525.48
1232,Dem. Rep. Congo,2010,6.6474
1233,Denmark,2010,273.173
1234,Djibouti,2010,
1235,Dominica,2010,
1236,Dominican Republic,2010,602.2148
1237,Ecuador,2010,413.5331
1238,Egypt,2010,426.5892
1239,El Salvador,2010,222.482
1240,Equatorial Guinea,2010,
1241,Eritrea,2010,859.0804
1242,Estonia,2010,745.833
1243,Ethiopia,2010,7.0837
1244,Faeroe Islands,2010,
1245,Falkland Islands,2010,
1246,Fiji,2010,
1247,Finland,2010,227.971
1248,France,2010,90.398
1249,French Guiana,2010,
1250,French Polynesia,2010,
1251,Gabon,2010,397.7521
1252,Gambia,2010,
1253,Georgia,2010,76.938
1254,Germany,2010,439.427
1255,Ghana,2010,297.3039
1256,Gibraltar,2010,751.8023
1257,Greece,2010,726.974
1258,Greenland,2010,
1259,Grenada,2010,
1260,Guadeloupe,2010,
1261,Guam,2010,
1262,Guatemala,2010,285.8483
1263,Guinea,2010,
1264,Guinea-Bissau,2010,
1265,Guyana,2010,
1266,Haiti,2010,472.0239
1267,Holy See,2010,
1268,Honduras,2010,333.0648
1269,Hong Kong,2010,733.7762
1270,Hungary,2010,309.159
1271,Iceland,2010,0.208
1272,India,2010,806.3826
1273,Indonesia,2010,722.3136
1274,Iran,2010,568.8485
1275,Iraq,2010,1094.399
1276,Ireland,2010,460.417
1277,Isle of Man,2010,
1278,Israel,2010,698.087
1279,Italy,2010,381.981
1280,Jamaica,2010,659.4975
1281,Japan,2010,428.605
1282,Jordan,2010,579.4514
1283,Kazakhstan,2010,392.8105
1284,Kenya,2010,280.931
1285,Kiribati,2010,
1286,Kosovo,2010,1301.7265
1287,Kuwait,2010,764.242
1288,Kyrgyzstan,2010,106.7747
1289,Laos,2010,
1290,Latvia,2010,162.6885
1291,Lebanon,2010,715.8084
1292,Lesotho,2010,
1293,Liberia,2010,
1294,Libya,2010,690.1594
1295,Liechtenstein,2010,
1296,Lithuania,2010,202.8929
1297,Luxembourg,2010,314.54
1298,Macao,2010,
1299,Macedonia,2010,646.2591
1300,Madagascar,2010,
1301,Malawi,2010,
1302,Malaysia,2010,768.9581
1303,Maldives,2010,
1304,Mali,2010,
1305,Malta,2010,879.2493
1306,Marshall Islands,2010,
1307,Martinique,2010,
1308,Mauritania,2010,
1309,Mauritius,2010,820.8836
1310,Mayotte,2010,
1311,Mexico,2010,493.426
1312,Micronesia,2010,
1313,Moldova,2010,394.0346
1314,Monaco,2010,
1315,Mongolia,2010,633.3595
1316,Montenegro,2010,431.0249
1317,Montserrat,2010,
1318,Morocco,2010,694.5286
1319,Mozambique,2010,0.6511
1320,Myanmar,2010,264.7231
1321,Namibia,2010,23.9632
1322,Nauru,2010,
1323,Nepal,2010,1.0664
1324,Netherlands,2010,375.35
1325,Netherlands Antilles,2010,
1326,New Caledonia,2010,
1327,New Zealand,2010,153.608
1328,Nicaragua,2010,464.7316
1329,Niger,2010,660.7939
1330,Nigeria,2010,381.5863
1331,Niue,2010,
1332,Norfolk Island,2010,
1333,North Korea,2010,477.3263
1334,Northern Mariana Islands,2010,
1335,Norway,2010,21.398
1336,Oman,2010,638.6639
1337,Pakistan,2010,427.9401
1338,Palau,2010,
1339,Panama,2010,369.4502
1340,Papua New Guinea,2010,
1341,Paraguay,2010,0.0
1342,Peru,2010,292.1925
1343,Philippines,2010,488.7164
1344,Pitcairn,2010,
1345,Poland,2010,644.175
1346,Portugal,2010,255.221
1347,Puerto Rico,2010,
1348,Qatar,2010,495.4838
1349,Republic of Congo,2010,268.8099
1350,Reunion,2010,
1351,Romania,2010,381.2337
1352,Russia,2010,329.4766
1353,Rwanda,2010,
1354,Saint Helena,2010,
1355,Saint Kitts and Nevis,2010,
1356,Saint Lucia,2010,
1357,Saint Pierre and Miquelon,2010,
1358,Saint Vincent and the Grenadines,2010,
1359,Samoa,2010,
1360,San Marino,2010,
1361,Sao Tome and Principe,2010,
1362,Saudi Arabia,2010,742.7352
1363,Senegal,2010,624.828
1364,Serbia,2010,645.745
1365,Seychelles,2010,
1366,Sierra Leone,2010,
1367,Singapore,2010,485.1306
1368,Sint Maarten,2010,
1369,Slovakia,2010,216.241
1370,Slovenia,2010,327.318
1371,Solomon Islands,2010,
1372,Somalia,2010,
1373,South Africa,2010,945.4398
1374,South Korea,2010,520.076
1375,South Sudan,2010,
1376,Spain,2010,239.715
1377,Sri Lanka,2010,312.3283
1378,State of Palestine,2010,
1379,Sudan,2010,144.9375
1380,Suriname,2010,303.9205
1381,Svalbard and Jan Mayen Islands,2010,
1382,Swaziland,2010,
1383,Sweden,2010,50.771
1384,Switzerland,2010,39.116
1385,Syria,2010,598.8265
1386,Taiwan,2010,632.9113
1387,Tajikistan,2010,2.1936
1388,Tanzania,2010,278.9721
1389,Thailand,2010,518.3772
1390,Timor-Leste,2010,
1391,Togo,2010,375.3408
1392,Tokelau,2010,
1393,Tonga,2010,
1394,Trinidad and Tobago,2010,703.349
1395,Tunisia,2010,432.337
1396,Turkey,2010,452.919
1397,Turkmenistan,2010,871.573
1398,Turks and Caicos Islands,2010,
1399,Tuvalu,2010,
1400,Uganda,2010,
1401,Ukraine,2010,339.9372
1402,United Arab Emirates,2010,600.9458
1403,United Kingdom,2010,449.717
1404,United States of America,2010,521.782
1405,United States Virgin Islands,2010,
1406,Uruguay,2010,79.5706
1407,Uzbekistan,2010,464.972
1408,Vanuatu,2010,
1409,Venezuela,2010,245.6528
1410,Viet Nam,2010,437.135
1411,Wallis and Futuna Islands,2010,
1412,Western Sahara,2010,
1413,Yemen,2010,789.2125
1414,Zambia,2010,2.4258
1415,Zimbabwe,2010,558.2435
1416,Afghanistan,2011,
1417,Albania,2011,7.3842
1418,Algeria,2011,558.7899
1419,American Samoa,2011,
1420,Andorra,2011,
1421,Angola,2011,394.3727
1422,Anguilla,2011,
1423,Antigua and Barbuda,2011,
1424,Argentina,2011,388.099
1425,Armenia,2011,125.4492
1426,Aruba,2011,
1427,Australia,2011,798.814
1428,Austria,2011,201.073
1429,Azerbaijan,2011,446.41
1430,Bahamas,2011,
1431,Bahrain,2011,754.2408
1432,Bangladesh,2011,569.4218
1433,Barbados,2011,
1434,Belarus,2011,289.1337
1435,Belgium,2011,197.812
1436,Belize,2011,
1437,Benin,2011,724.1806
1438,Bermuda,2011,
1439,Bhutan,2011,
1440,Bolivia,2011,435.6931
1441,Bosnia and Herzegovina,2011,937.6915
1442,Botswana,2011,3297.68
1443,Brazil,2011,68.6852
1444,British Virgin Islands,2011,
1445,Brunei Darussalam,2011,720.3903
1446,Bulgaria,2011,523.865
1447,Burkina Faso,2011,
1448,Burundi,2011,
1449,Cambodia,2011,801.0399
1450,Cameroon,2011,200.4346
1451,Canada,2011,168.501
1452,Cape Verde,2011,
1453,Cayman Islands,2011,
1454,Central African Republic,2011,
1455,Chad,2011,
1456,Chile,2011,447.584
1457,China,2011,726.0319
1458,Colombia,2011,105.6258
1459,Comoros,2011,
1460,Cook Islands,2011,
1461,Costa Rica,2011,64.4004
1462,Cote d'Ivoire,2011,438.9608
1463,Croatia,2011,305.2387
1464,Cuba,2011,829.6266
1465,Curacao,2011,694.7947
1466,Cyprus,2011,738.4614
1467,Czech Republic,2011,528.642
1468,Dem. Rep. Congo,2011,6.6525
1469,Denmark,2011,248.596
1470,Djibouti,2011,
1471,Dominica,2011,
1472,Dominican Republic,2011,600.7507
1473,Ecuador,2011,336.6845
1474,Egypt,2011,423.774
1475,El Salvador,2011,234.7113
1476,Equatorial Guinea,2011,
1477,Eritrea,2011,857.9763
1478,Estonia,2011,711.308
1479,Ethiopia,2011,6.5803
1480,Faeroe Islands,2011,
1481,Falkland Islands,2011,
1482,Fiji,2011,
1483,Finland,2011,202.818
1484,France,2011,73.626
1485,French Guiana,2011,
1486,French Polynesia,2011,
1487,Gabon,2011,437.5996
1488,Gambia,2011,
1489,Georgia,2011,101.9411
1490,Germany,2011,449.289
1491,Ghana,2011,216.8613
1492,Gibraltar,2011,760.0936
1493,Greece,2011,714.803
1494,Greenland,2011,
1495,Grenada,2011,
1496,Guadeloupe,2011,
1497,Guam,2011,
1498,Guatemala,2011,272.1399
1499,Guinea,2011,
1500,Guinea-Bissau,2011,
1501,Guyana,2011,
1502,Haiti,2011,293.8261
1503,Holy See,2011,
1504,Honduras,2011,378.7506
1505,Hong Kong,2011,780.0671
1506,Hungary,2011,309.816
1507,Iceland,2011,0.136
1508,India,2011,775.7235
1509,Indonesia,2011,761.7349
1510,Iran,2011,581.5684
1511,Iraq,2011,970.3538
1512,Ireland,2011,428.351
1513,Isle of Man,2011,
1514,Israel,2011,737.862
1515,Italy,2011,374.002
1516,Jamaica,2011,670.3559
1517,Japan,2011,507.975
1518,Jordan,2011,643.16
1519,Kazakhstan,2011,403.2521
1520,Kenya,2011,300.8258
1521,Kiribati,2011,
1522,Kosovo,2011,1123.6843
1523,Kuwait,2011,794.1407
1524,Kyrgyzstan,2011,93.6656
1525,Laos,2011,
1526,Latvia,2011,167.3048
1527,Lebanon,2011,714.0833
1528,Lesotho,2011,
1529,Liberia,2011,
1530,Libya,2011,680.2678
1531,Liechtenstein,2011,
1532,Lithuania,2011,171.5998
1533,Luxembourg,2011,308.582
1534,Macao,2011,
1535,Macedonia,2011,784.0481
1536,Madagascar,2011,
1537,Malawi,2011,
1538,Malaysia,2011,682.6158
1539,Maldives,2011,
1540,Mali,2011,
1541,Malta,2011,873.4901
1542,Marshall Islands,2011,
1543,Martinique,2011,
1544,Mauritania,2011,
1545,Mauritius,2011,803.2171
1546,Mayotte,2011,
1547,Mexico,2011,482.383
1548,Micronesia,2011,
1549,Moldova,2011,393.7471
1550,Monaco,2011,
1551,Mongolia,2011,635.9478
1552,Montenegro,2011,667.9179
1553,Montserrat,2011,
1554,Morocco,2011,745.72
1555,Mozambique,2011,0.9118
1556,Myanmar,2011,192.2242
1557,Namibia,2011,13.7126
1558,Nauru,2011,
1559,Nepal,2011,0.0
1560,Netherlands,2011,366.112
1561,Netherlands Antilles,2011,
1562,New Caledonia,2011,
1563,New Zealand,2011,143.219
1564,Nicaragua,2011,475.6059
1565,Niger,2011,633.9246
1566,Nigeria,2011,394.9136
1567,Niue,2011,
1568,Norfolk Island,2011,
1569,North Korea,2011,386.4974
1570,Northern Mariana Islands,2011,
1571,Norway,2011,19.201
1572,Oman,2011,614.1158
1573,Pakistan,2011,412.6356
1574,Palau,2011,
1575,Panama,2011,395.1772
1576,Papua New Guinea,2011,
1577,Paraguay,2011,0.0
1578,Peru,2011,299.5272
1579,Philippines,2011,500.2578
1580,Pitcairn,2011,
1581,Poland,2011,656.375
1582,Portugal,2011,299.004
1583,Puerto Rico,2011,
1584,Qatar,2011,492.1872
1585,Republic of Congo,2011,231.2838
1586,Reunion,2011,
1587,Romania,2011,440.3307
1588,Russia,2011,338.4203
1589,Rwanda,2011,
1590,Saint Helena,2011,
1591,Saint Kitts and Nevis,2011,
